n_components,whiten,explained_variance,silhouette,ARI
2,False,0.15552838957921372,0.34498262376135286,0.050424117490168875
2,True,0.15552838957921372,0.3268700872724073,0.04508677421059618
3,False,0.20732551307442873,0.293067583222477,0.052880603754918674
3,True,0.20732551307442873,0.29124457339371096,0.041074218559223025
5,False,0.2994803140067282,0.19722150408588132,0.031192708311182274
5,True,0.2994803140067282,0.18422823453442116,0.07387997726125252
10,False,0.485500945735431,0.10387330476357805,0.012676890861892266
10,True,0.485500945735431,0.11361261596687654,0.00916526718370952
15,False,0.6311538266582727,0.0907837723023327,0.023560895401231605
15,True,0.6311538266582727,0.08462577891974353,0.013989541694378948
20,False,0.7480972272202653,0.0818466636250619,0.020731178716495543
20,True,0.7480972272202653,0.07474064282016973,0.010168355003928615
